alert_id,account_id,alert_type,severity,triggered_at,acknowledged_at,resolved_at,resolved
3273d86a-40fc-4f19-99a7-687d84a05ec8,67a1a502-3e8c-48ba-a732-b8b66f911213,unauthorized_access,low,2023-03-28,2023-03-30,2023-04-02,1
cfe7b61d-2522-4ecc-8a78-2633416dee66,c9565706-40cb-4eb8-ac4a-fdd186d5e0c9,policy_violation,high,2023-03-29,2023-03-29,2023-03-31,1
c57dfd98-f733-48c1-a24e-e14c5bd86ff6,86d1f0c6-2164-499f-b23c-b914b50d1484,malware_detected,medium,2023-03-30,,,0
6cc7be8c-8dfe-4ea7-9982-0f59d0484bad,133dca49-cd67-40d8-94fd-c68395c5a797,anomalous_behavior,medium,2023-03-31,2023-04-01,2023-04-04,1
0bd16c5a-7e41-48fb-b4a9-416711d89ef6,afd9702a-dd6b-4213-b52d-6e7193974098,policy_violation,medium,2023-04-02,2023-04-02,2023-04-07,1
12c770db-15b0-4191-90bf-1b9b0f03a85b,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,malware_detected,high,2023-04-04,2023-04-04,2023-04-04,1
3c5184ba-409d-4142-a71b-5ffe9d6fa44c,dfdf6aa4-25dd-4112-a079-2adbd257721c,unauthorized_access,low,2023-04-09,2023-04-11,2023-04-16,1
0927bc09-20d4-4a0f-bc5f-8108ab9bf58a,9a93a7a6-09c9-4db1-85ae-c838d4156583,unauthorized_access,medium,2023-04-12,2023-04-13,2023-04-14,1
e4416ba6-f0e5-49e0-9f11-92e416dd57ab,12c2d48a-29f9-4da4-bd28-828b5ccd29ab,unauthorized_access,medium,2023-04-12,,,0
d56be605-045d-4824-b1bc-be5758dfcc33,0b181cb7-ded2-48e1-af50-4a43657f052f,policy_violation,medium,2023-04-13,2023-04-16,2023-04-18,1
fd7c8ed5-3aaa-4b61-90a6-095dfc401a10,12c2d48a-29f9-4da4-bd28-828b5ccd29ab,anomalous_behavior,medium,2023-04-13,2023-04-14,2023-04-18,1
4ecd1a23-0a91-406a-8cad-95d822357a9f,67a1a502-3e8c-48ba-a732-b8b66f911213,policy_violation,medium,2023-04-15,2023-04-16,2023-04-16,1
7a9e5189-266a-450a-b96c-ea37adf09265,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,malware_detected,low,2023-04-18,2023-04-21,2023-04-24,1
bca595c8-4734-498f-9fa6-80168ecad46f,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,unauthorized_access,low,2023-04-18,2023-04-18,2023-04-22,1
d1a240fd-09b5-45b7-9f12-bf000e5bd02a,dfdf6aa4-25dd-4112-a079-2adbd257721c,anomalous_behavior,high,2023-04-18,2023-04-21,2023-04-26,1
a14e31b1-d804-44b9-9a89-3b309d26b702,61d71670-af12-4c53-8eb1-3fb47ac59b95,unauthorized_access,low,2023-04-21,2023-04-21,2023-04-26,1
0489ef4b-928f-49a1-9b34-207f13278828,03bfcfaf-fd78-4fcf-9be8-3cddba0b7a50,unauthorized_access,medium,2023-04-21,2023-04-24,2023-04-28,1
d1bf0b7c-0f84-4821-acd8-b3a0c184c233,89553b7d-d935-47a7-989b-4586a46a5e59,anomalous_behavior,low,2023-04-22,,,0
c1520ddc-a614-4f13-b7b8-17e9dc20255f,cfcef06e-4d2d-4560-99cd-0d297cab8129,unauthorized_access,high,2023-04-24,2023-04-26,2023-05-02,1
ff9adc34-d536-413a-9f8a-a628d0b7ce37,133dca49-cd67-40d8-94fd-c68395c5a797,policy_violation,low,2023-04-26,2023-04-29,2023-04-30,1
d224fee8-91de-427b-84e1-c67413e68efb,86d1f0c6-2164-499f-b23c-b914b50d1484,malware_detected,low,2023-04-26,,,0
cae5ad78-deb6-4c55-8ea2-2346c16900d6,ef01ffc2-6040-4390-93f8-06fe71e1d6dc,policy_violation,low,2023-04-26,2023-04-28,,0
bfdc6f7b-ea00-436a-90ff-e85ac2e2e613,6b1e0218-e14a-441f-959c-ea6d6ef9f3d7,anomalous_behavior,low,2023-04-29,2023-05-02,2023-05-06,1
9d3cf54f-8ec4-44ed-a130-941c6b0c2a4a,ec1d7f1f-581a-4873-9a9d-de78b90f6607,anomalous_behavior,medium,2023-04-29,2023-04-29,,0
784502d7-e32f-4a7c-95a7-2db91b7169ff,61d71670-af12-4c53-8eb1-3fb47ac59b95,policy_violation,medium,2023-05-04,,,0
07baf3f2-5e17-4a6d-aca3-87dd03d4e82d,ef01ffc2-6040-4390-93f8-06fe71e1d6dc,policy_violation,high,2023-05-04,,,0
d3be1667-7949-49a2-a10e-e78f7902011a,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,anomalous_behavior,high,2023-05-04,2023-05-05,2023-05-05,1
280184ff-93c4-4c40-ae90-eba3bf53db93,fba5560f-73e7-4b9d-87fd-e161fbd3d0ad,malware_detected,medium,2023-05-05,2023-05-08,2023-05-10,1
4d942f23-f646-4af5-b5c1-3147a93b3b9a,dfdf6aa4-25dd-4112-a079-2adbd257721c,malware_detected,medium,2023-05-05,,,0
3de6964c-b913-4303-90cc-23eaccdeedd2,556e8522-5cda-4089-8b02-5d7518bf0ed6,anomalous_behavior,high,2023-05-06,2023-05-09,2023-05-10,1
31f6b33e-39f5-4147-ac99-35fbc2991712,cfcef06e-4d2d-4560-99cd-0d297cab8129,malware_detected,low,2023-05-08,2023-05-09,2023-05-10,1
44c58c64-d827-4590-820b-0ae7a6862962,ec1d7f1f-581a-4873-9a9d-de78b90f6607,unauthorized_access,high,2023-05-09,2023-05-12,,0
89d4b708-7207-468d-9680-01bf2510b2d7,03bfcfaf-fd78-4fcf-9be8-3cddba0b7a50,anomalous_behavior,high,2023-05-09,2023-05-12,,0
4e5c07bb-5f90-4681-b46c-5784f2e9c297,86d1f0c6-2164-499f-b23c-b914b50d1484,policy_violation,low,2023-05-09,2023-05-10,,0
e4201024-5824-4e4c-b558-1273c3281949,ec1d7f1f-581a-4873-9a9d-de78b90f6607,anomalous_behavior,medium,2023-05-11,2023-05-11,,0
8a2682ee-d1bc-47f2-833d-dd6eafe55f75,86d1f0c6-2164-499f-b23c-b914b50d1484,anomalous_behavior,medium,2023-05-14,2023-05-16,2023-05-17,1
1d28f4bc-95b5-497c-a644-253acf4538e4,dfdf6aa4-25dd-4112-a079-2adbd257721c,policy_violation,high,2023-05-14,,,0
e32a39b8-5d34-42f8-aa56-7859aa8718cd,67a1a502-3e8c-48ba-a732-b8b66f911213,anomalous_behavior,high,2023-05-15,,,0
5f9583de-233e-4e3e-8075-a90079fb249d,a16553b9-4aa8-4576-9dee-3abb54058664,policy_violation,low,2023-05-16,2023-05-17,,0
b85c464a-a9a6-4655-b2ec-90c2cf57d219,5a7d5276-6de5-44c7-87fc-c2a7eda2019c,policy_violation,medium,2023-05-16,2023-05-18,2023-05-20,1
8d3c8b59-6472-4ac5-9f85-384a709db43d,86d1f0c6-2164-499f-b23c-b914b50d1484,unauthorized_access,low,2023-05-16,,,0
aeb874f0-023d-4d9f-8471-745995b890ce,ec1d7f1f-581a-4873-9a9d-de78b90f6607,malware_detected,low,2023-05-16,2023-05-18,2023-05-25,1
c2003f80-053f-414d-9348-ea171d974453,2725d6eb-4722-4c50-af36-44b9da0f92b5,policy_violation,critical,2023-05-20,2023-05-21,2023-05-28,1
1bc65d13-8402-4945-b6e8-378c4c2f3b32,618d7c4e-5bf8-4f56-8785-5bbb5efd5a94,policy_violation,critical,2023-05-21,2023-05-22,2023-05-29,1
56f6f5ab-8fbc-4d65-b7c6-c1a021cba0f5,17f6a053-dad8-49fa-b64f-e7359cdb4748,unauthorized_access,high,2023-05-21,2023-05-23,2023-05-24,1
733a2c61-d14f-4838-8beb-7a548d0e639c,09d74ac0-d720-41cf-9145-0f61b5ada521,malware_detected,low,2023-05-21,,,0
378bfd44-ba33-4611-8b1f-7204414fd4da,17f6a053-dad8-49fa-b64f-e7359cdb4748,malware_detected,low,2023-05-21,2023-05-24,2023-05-27,1
9faa3922-025b-47b6-8881-3a1530340836,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,policy_violation,low,2023-05-21,,,0
99547a6a-fc6d-49fb-a31d-0329d51e3efb,9a93a7a6-09c9-4db1-85ae-c838d4156583,malware_detected,low,2023-05-22,2023-05-24,2023-05-30,1
eadc0cdf-8525-45dc-b966-f5c34634080c,cfcef06e-4d2d-4560-99cd-0d297cab8129,unauthorized_access,medium,2023-05-24,2023-05-25,2023-06-01,1
6031ad60-7414-41fd-8a50-345c26b4daba,86d1f0c6-2164-499f-b23c-b914b50d1484,unauthorized_access,medium,2023-05-24,2023-05-24,,0
18757c6d-3b47-445b-b74f-8d922822bfa6,90155c04-3801-4d92-aa24-c43c6e067b46,unauthorized_access,low,2023-05-24,2023-05-24,2023-05-30,1
98fd0976-6375-4024-b16b-bfd0874f0355,2c5e361e-e17d-472a-a626-b10cb7549320,anomalous_behavior,low,2023-05-26,2023-05-27,,0
f28836d9-8b2e-428c-bd3e-1fd87805ff30,2c5e361e-e17d-472a-a626-b10cb7549320,unauthorized_access,medium,2023-05-26,,,0
e581c472-ace4-4187-aaff-903c1c2b2515,61d71670-af12-4c53-8eb1-3fb47ac59b95,unauthorized_access,low,2023-05-28,,,0
f4df0b78-afed-4b72-a47b-286557aa07fd,61d71670-af12-4c53-8eb1-3fb47ac59b95,malware_detected,medium,2023-05-28,,,0
8bb57c77-009a-4fba-822d-32317afbb397,ef01ffc2-6040-4390-93f8-06fe71e1d6dc,unauthorized_access,medium,2023-05-28,,,0
2f5156bd-9c36-4a68-a2d7-f36ca4f75ad9,89553b7d-d935-47a7-989b-4586a46a5e59,policy_violation,high,2023-05-29,2023-05-29,,0
461c3d5f-f3cc-4418-9aa2-0f9c648e1b17,2c5e361e-e17d-472a-a626-b10cb7549320,malware_detected,low,2023-05-31,,,0
e74d98a5-e804-4fa8-8891-c738a3dcca01,b226e1bf-ac39-499e-b9eb-23dbd465d0f1,malware_detected,low,2023-06-01,2023-06-01,2023-06-07,1
385bfc25-b0f9-49c9-b54f-a8c2bae724f0,308522ec-bcd4-46fc-a87d-d7efe3dc8995,unauthorized_access,low,2023-06-02,2023-06-02,,0
7d1399a2-6322-42da-856c-fe12e0d00914,2c5e361e-e17d-472a-a626-b10cb7549320,malware_detected,low,2023-06-03,2023-06-05,2023-06-11,1
028334be-a1de-4c14-8275-448d6b822641,61d71670-af12-4c53-8eb1-3fb47ac59b95,unauthorized_access,high,2023-06-04,2023-06-06,2023-06-11,1
c47bdc8b-1738-4363-8927-b1c79adf30bd,0991201d-1323-43db-b83e-59f3660f6d91,policy_violation,medium,2023-06-07,2023-06-07,,0
0e622610-e2ce-4cfa-be83-46facd22d002,2c5e361e-e17d-472a-a626-b10cb7549320,unauthorized_access,low,2023-06-07,,,0
9514d910-ac1e-42fe-923b-376bb9d4d6bc,61d71670-af12-4c53-8eb1-3fb47ac59b95,anomalous_behavior,high,2023-06-08,,,0
9f16b62c-a43b-4ff9-8c3a-459a4aa0f2fa,16650a24-7830-4a9a-a00c-136fbe552f94,anomalous_behavior,medium,2023-06-08,,,0
9138fdf9-9822-4c8f-bdef-cdb002abf557,2c5e361e-e17d-472a-a626-b10cb7549320,malware_detected,low,2023-06-08,2023-06-08,,0
67ba363e-c4ee-451f-90a2-04cc77ed2be8,2c5e361e-e17d-472a-a626-b10cb7549320,policy_violation,low,2023-06-11,2023-06-11,2023-06-18,1
09df4f74-f738-4b1a-8f73-c8adb596d3ac,13947b4a-d21b-4985-bdae-e97f4973cdf4,malware_detected,high,2023-06-12,2023-06-14,2023-06-16,1
58f5fa0b-5516-41d4-86b1-69d321c3a902,17f6a053-dad8-49fa-b64f-e7359cdb4748,policy_violation,medium,2023-06-13,2023-06-16,,0
322ec878-64ef-476a-9ba5-c9ade603a522,afd9702a-dd6b-4213-b52d-6e7193974098,unauthorized_access,high,2023-06-13,2023-06-15,,0
21b73975-926b-4103-8c8d-ba55523d1672,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,anomalous_behavior,medium,2023-06-15,2023-06-16,2023-06-22,1
e7aefaed-6ad1-467e-986b-4ae4e7a5fcff,ec1d7f1f-581a-4873-9a9d-de78b90f6607,policy_violation,low,2023-06-16,2023-06-16,,0
428a8e1b-57fd-4f79-8a56-d3b4c9577325,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,malware_detected,medium,2023-06-16,,,0
75f3e26a-b82f-4ba3-8fdf-b66efb6ff597,41b76bd0-fb86-40c3-aa9d-ac154cb77782,malware_detected,high,2023-06-16,,,0
3e6c34a6-e192-4172-a7f2-eda6ba4dd039,e691ae69-9d65-43ba-8aa9-7592639c33c0,malware_detected,medium,2023-06-17,2023-06-17,2023-06-19,1
f56638d4-0f6f-48a7-a5c7-af8877a5f794,89553b7d-d935-47a7-989b-4586a46a5e59,anomalous_behavior,low,2023-06-17,,,0
48dcff18-104c-4944-9742-9ef0bae7862f,75ea5990-4dbd-408f-a876-2a3dc21d622d,anomalous_behavior,low,2023-06-19,,,0
fdd875ab-d2f7-4a21-b987-22d059cfe370,ef01ffc2-6040-4390-93f8-06fe71e1d6dc,policy_violation,low,2023-06-19,,,0
baf38319-1310-4379-a8a2-402790ff4309,61d71670-af12-4c53-8eb1-3fb47ac59b95,anomalous_behavior,low,2023-06-19,2023-06-21,2023-06-26,1
1e9e741e-bd1b-407b-b4a3-42167e139ec3,12c2d48a-29f9-4da4-bd28-828b5ccd29ab,unauthorized_access,high,2023-06-20,,,0
8b6793fc-c8fc-495e-ba78-0200c1d3576a,afd9702a-dd6b-4213-b52d-6e7193974098,anomalous_behavior,high,2023-06-20,2023-06-22,,0
5b94bc51-1e85-4162-9cef-2f42c6e42721,2c5e361e-e17d-472a-a626-b10cb7549320,malware_detected,low,2023-06-22,,,0
50005efa-d892-4ceb-8b1e-3b3bc87f3cb6,03bfcfaf-fd78-4fcf-9be8-3cddba0b7a50,anomalous_behavior,medium,2023-06-22,,,0
0456b714-e70d-42f9-9bc1-331cd5a19a54,d223e9d1-9e8c-4440-971b-b91c2ce2e6c2,policy_violation,low,2023-06-24,,,0
0fd720c9-c850-45dc-ae74-632b5674f51b,61d71670-af12-4c53-8eb1-3fb47ac59b95,malware_detected,medium,2023-06-24,,,0
3a2ba06e-0b8e-4477-81aa-8ee800912bd8,61d71670-af12-4c53-8eb1-3fb47ac59b95,malware_detected,high,2023-06-25,2023-06-27,2023-06-30,1
b3a3bcb7-e473-404f-9acf-d8d4b79ceceb,03bfcfaf-fd78-4fcf-9be8-3cddba0b7a50,policy_violation,medium,2023-06-25,2023-06-25,2023-06-25,1
89a31b51-9e6f-4541-b3ff-2a44763ec683,17f6a053-dad8-49fa-b64f-e7359cdb4748,policy_violation,low,2023-06-25,2023-06-27,,0
5732305d-9e9e-46a4-94c2-870cdef0a563,dfdf6aa4-25dd-4112-a079-2adbd257721c,malware_detected,medium,2023-06-26,,,0
d1b3095e-7cb4-4920-868f-eb0255dc267c,cfcef06e-4d2d-4560-99cd-0d297cab8129,unauthorized_access,medium,2023-06-26,2023-06-26,2023-07-03,1
f4f097b2-7f0a-48c6-8c02-c87769e6aa3c,b226e1bf-ac39-499e-b9eb-23dbd465d0f1,policy_violation,low,2023-06-27,,,0
a3b6ccca-20b1-42e4-94f0-1e0adfc15e58,ec1d7f1f-581a-4873-9a9d-de78b90f6607,malware_detected,high,2023-06-28,2023-06-29,2023-07-06,1
a6f2091a-7d37-443e-8ee0-d1039edb2d80,ef01ffc2-6040-4390-93f8-06fe71e1d6dc,malware_detected,medium,2023-06-29,2023-06-30,2023-07-06,1
ea5655e2-70bd-4e9a-a4d5-4c1ad30dbfdb,c9565706-40cb-4eb8-ac4a-fdd186d5e0c9,policy_violation,low,2023-06-29,,,0
519f4f57-8c7a-4c88-803e-f3f7aba102ea,2c5e361e-e17d-472a-a626-b10cb7549320,malware_detected,low,2023-06-30,2023-07-03,,0
4db3ec10-db0b-4597-ad99-69e0259536c0,8326e5d7-adc6-4ada-ad6a-39f1197a6bd0,anomalous_behavior,high,2023-06-30,2023-07-02,2023-07-04,1
64f116be-0a98-478b-b624-d65c5de8f7e1,dfdf6aa4-25dd-4112-a079-2adbd257721c,policy_violation,low,2023-07-01,2023-07-04,2023-07-05,1
235d3a36-c9b1-43ec-a320-eeeb17ab7672,2c5e361e-e17d-472a-a626-b10cb7549320,unauthorized_access,low,2023-07-01,2023-07-04,2023-07-08,1
5a68e34e-63fe-42a1-a714-4891e2af5b26,2c5e361e-e17d-472a-a626-b10cb7549320,policy_violation,medium,2023-07-04,2023-07-05,2023-07-11,1
1179ce6c-24cd-43e1-a674-9e17492be77e,2c5e361e-e17d-472a-a626-b10cb7549320,malware_detected,medium,2023-07-05,2023-07-07,2023-07-13,1
ba016252-ff43-4d92-82d2-4506e4d29b19,63ff4fb9-ac6a-4469-b60e-4e9683f08138,anomalous_behavior,medium,2023-07-05,,,0
70cb67bf-cfa1-4874-a205-b7a0a5f32786,03bfcfaf-fd78-4fcf-9be8-3cddba0b7a50,unauthorized_access,low,2023-07-05,2023-07-08,2023-07-11,1
a437c922-f340-461c-aa16-2fc3f8bc96a3,618d7c4e-5bf8-4f56-8785-5bbb5efd5a94,malware_detected,high,2023-07-06,2023-07-06,2023-07-06,1
371e3d78-bc24-40e5-94e8-484a6f77cf7c,ca64d382-9698-4028-9efb-325fad71e19f,malware_detected,high,2023-07-06,,,0
0a7c88d4-b9b8-4bba-b98d-13818628ee19,133dca49-cd67-40d8-94fd-c68395c5a797,malware_detected,low,2023-07-06,2023-07-09,2023-07-14,1
348fdb40-d642-438d-b585-13a8580fec17,c9565706-40cb-4eb8-ac4a-fdd186d5e0c9,anomalous_behavior,high,2023-07-06,2023-07-08,2023-07-09,1
b6b8b608-6ca7-4fce-a31d-846a5ba0f1d7,afd9702a-dd6b-4213-b52d-6e7193974098,policy_violation,low,2023-07-07,2023-07-09,2023-07-10,1
1a9fee43-e8a7-4496-93b7-58c23274c3a8,0991201d-1323-43db-b83e-59f3660f6d91,malware_detected,medium,2023-07-09,,,0
f1ed737b-7f3a-4e69-aeb7-78b2fe800187,2725d6eb-4722-4c50-af36-44b9da0f92b5,policy_violation,low,2023-07-09,,,0
fafa2aed-20a6-426c-88ca-adefafebaa06,61d71670-af12-4c53-8eb1-3fb47ac59b95,policy_violation,low,2023-07-11,2023-07-14,,0
1f8e1a1b-bc26-45b8-b4bc-d90e6569b2a9,17f6a053-dad8-49fa-b64f-e7359cdb4748,policy_violation,low,2023-07-11,2023-07-14,2023-07-20,1
d5a5d54f-0ca8-4304-b4e4-b3ad85ecf022,618d7c4e-5bf8-4f56-8785-5bbb5efd5a94,malware_detected,low,2023-07-12,2023-07-13,2023-07-16,1
e4fbc81b-f1c9-4254-b70a-8c9563fb02df,ec1d7f1f-581a-4873-9a9d-de78b90f6607,unauthorized_access,low,2023-07-12,2023-07-13,2023-07-18,1
cebac1e7-d7a9-45c2-8229-42a5760abf41,9a93a7a6-09c9-4db1-85ae-c838d4156583,malware_detected,low,2023-07-13,2023-07-15,2023-07-18,1
0d3ea153-a429-46ce-9112-3080d7d2dc77,31e4fa81-76ae-4aba-adaf-1883e0ecd30d,malware_detected,low,2023-07-13,,,0
e06afc7c-7c29-412b-a023-cc8ae113c43f,8326e5d7-adc6-4ada-ad6a-39f1197a6bd0,malware_detected,low,2023-07-13,2023-07-16,2023-07-16,1
4c93736d-8bfa-4dd0-96b6-b534ca6e8410,8eae3cda-4a08-4593-9db1-3342006b8f06,unauthorized_access,high,2023-07-13,2023-07-14,2023-07-18,1
79fb05b0-d5e8-4219-b814-8833179c4dc7,4a15d71b-5423-4cd9-8a9d-1a6afaf167ae,unauthorized_access,medium,2023-07-14,2023-07-17,2023-07-17,1
8727ce35-dd48-4a5f-a2e2-b90b88d35e37,03bfcfaf-fd78-4fcf-9be8-3cddba0b7a50,anomalous_behavior,high,2023-07-14,2023-07-17,2023-07-22,1
0b6781a7-bffb-495a-ab61-d7bf040fee0d,61d71670-af12-4c53-8eb1-3fb47ac59b95,anomalous_behavior,high,2023-07-15,2023-07-18,,0
74edd0d1-ce28-4b40-a2f4-e74024386737,fba5560f-73e7-4b9d-87fd-e161fbd3d0ad,policy_violation,medium,2023-07-15,2023-07-15,2023-07-15,1
565aac02-8352-4694-ac6e-05eb8fcb15cf,dfdf6aa4-25dd-4112-a079-2adbd257721c,policy_violation,low,2023-07-16,2023-07-17,2023-07-17,1
096e46b4-75b2-4aea-9002-73d9950ea892,dfdf6aa4-25dd-4112-a079-2adbd257721c,unauthorized_access,low,2023-07-16,,,0
5433da5c-dd8b-4662-989f-939bef5fbcdc,308522ec-bcd4-46fc-a87d-d7efe3dc8995,unauthorized_access,low,2023-07-17,2023-07-18,2023-07-20,1
4469ccbf-456d-4068-9e84-434a22518606,fba5560f-73e7-4b9d-87fd-e161fbd3d0ad,anomalous_behavior,medium,2023-07-17,2023-07-19,2023-07-26,1
c1f7b0d1-fc5c-4634-9fff-46895b6d23bc,03bfcfaf-fd78-4fcf-9be8-3cddba0b7a50,malware_detected,high,2023-07-17,2023-07-20,2023-07-21,1
8b26be33-ce61-4b4e-b641-c4fc9a15bbce,89553b7d-d935-47a7-989b-4586a46a5e59,unauthorized_access,medium,2023-07-17,,,0
a664f025-f38a-4f8a-9200-415566907f4a,2c5e361e-e17d-472a-a626-b10cb7549320,policy_violation,low,2023-07-19,2023-07-21,2023-07-27,1
c839a1ab-24f9-4b46-98ce-098bf302942c,ca64d382-9698-4028-9efb-325fad71e19f,anomalous_behavior,low,2023-07-19,2023-07-22,,0
7a38dad5-11e2-43af-887b-1789f27685a2,8eae3cda-4a08-4593-9db1-3342006b8f06,anomalous_behavior,medium,2023-07-20,2023-07-20,,0
92c66179-87f5-4fe9-a055-59de232e9a62,2c5e361e-e17d-472a-a626-b10cb7549320,malware_detected,critical,2023-07-22,2023-07-22,2023-07-23,1
a692d1f8-2d1b-4da1-add4-6c3f084cea12,12c2d48a-29f9-4da4-bd28-828b5ccd29ab,policy_violation,medium,2023-07-22,2023-07-23,,0
7f3bc0f8-fe3d-443e-b2a0-4656cb4c3801,ef01ffc2-6040-4390-93f8-06fe71e1d6dc,unauthorized_access,low,2023-07-23,2023-07-25,,0
dcbfa2ec-fb45-4783-ae20-9ce523e0a4c1,280c8e78-921b-437a-83ca-928db4bb167c,anomalous_behavior,medium,2023-07-23,,,0
1a7ebe0a-7152-4cd5-b7ae-f63c438c30f0,ec1d7f1f-581a-4873-9a9d-de78b90f6607,anomalous_behavior,high,2023-07-24,2023-07-24,2023-07-31,1
ae6287de-20ea-4b18-96db-690aa74f46a6,4a15d71b-5423-4cd9-8a9d-1a6afaf167ae,unauthorized_access,low,2023-07-24,2023-07-27,2023-07-27,1
56beedef-e38a-4082-b6d3-7d92e23d5682,75ea5990-4dbd-408f-a876-2a3dc21d622d,unauthorized_access,low,2023-07-25,2023-07-28,2023-07-30,1
4f6a8bcf-27a7-41a7-bd38-7e5db02290ef,03bfcfaf-fd78-4fcf-9be8-3cddba0b7a50,anomalous_behavior,low,2023-07-25,2023-07-27,,0
